"","known_binom_larger","known_normal_larger"
"1",5,10.1115223737378
"2",6,11.339800871617
"3",9,6.87198073485179
"4",4,10.7191883948307
"5",5,7.79175295604173
"6",8,9.11104844695119
"7",9,4.43678201974285
"8",8,7.56319959528958
"9",9,6.60335818805007
"10",5,6.29093925601801
"11",9,10.8427160296573
"12",8,7.72559370321013
"13",5,8.71781415737846
"14",9,4.21931207278843
"15",14,8.85920481008244
"16",10,8.41526689781984
"17",11,10.3603591325601
"18",8,2.64393800428978
"19",5,12.9775777016435
"20",7,6.57965982780775
"21",8,11.7800254000311
"22",7,9.88419651457095
"23",9,7.25837883843291
"24",10,8.30614249701632
"25",8,8.3498166208924
"26",8,13.8143890553336
"27",8,11.7476584672662
"28",7,6.92049245550246
"29",2,2.96588700744197
"30",8,7.83186939063389
"31",10,8.88426044487272
"32",8,5.2937506851604
"33",3,10.7725581858265
"34",9,7.65474361849761
"35",9,7.93361992106844
"36",5,6.06541285741505
"37",8,6.31313684204203
"38",7,9.59210921579859
"39",3,7.99823689642667
"40",5,4.17932471148908
"41",11,10.4794110796114
"42",9,7.29275626884453
"43",8,3.74566240124072
"44",10,9.48068293015483
"45",6,8.78044020941545
"46",7,6.55655815889252
"47",10,6.67063598067207
"48",9,5.96100591678401
"49",7,8.30534196631109
"50",4,7.78522517627523
"51",7,7.96870735969588
"52",7,9.74079825979059
"53",5,8.9203777850239
"54",10,9.36110068545745
"55",6,7.89875760334802
"56",10,7.58131751893768
"57",8,8.50613243190784
"58",7,7.63983137785139
"59",8,7.01471438553126
"60",9,9.22526183672529
"61",7,10.6028440593645
"62",11,12.9422708083579
"63",3,10.6847694961489
"64",8,8.39616652980469
"65",9,11.371841228948
"66",5,7.58397256083275
"67",9,6.66700666625404
"68",5,4.53971532940662
"69",9,8.31648697873806
"70",8,11.1900908662326
"71",7,7.56188824726996
"72",9,8.44521571576678
"73",7,7.64566226429566
"74",10,7.02041376031634
"75",8,7.05192206568498
"76",10,7.54366831377334
"77",14,7.65244994387434
"78",3,13.7042170512781
"79",9,12.0844705971048
"80",8,4.48357276427151
"81",6,7.98314090251446
"82",8,1.43953548251436
"83",8,9.12346550638487
"84",6,8.99932221741412
"85",8,5.15603837737028
"86",8,5.75159615471831
"87",8,9.10716598354329
"88",10,9.87453143025846
"89",7,11.7976122934441
"90",5,9.89647530669751
"91",9,9.00345435425321
"92",11,3.91024820294819
"93",5,8.19986975609928
"94",12,7.23286227774954
"95",7,4.59469049235421
"96",5,7.69680222783223
"97",4,7.3193631586273
"98",9,4.29392821138932
"99",6,5.01377348785935
"100",10,12.0250904146677
"101",6,6.35802053738271
"102",14,4.46975405082662
"103",7,7.85195330981968
"104",10,5.16861616412351
"105",8,3.84735735680717
"106",10,5.87977654996554
"107",6,5.91452896038997
"108",9,5.05413276403932
"109",13,6.8229016975287
"110",8,8.39603813234031
"111",9,9.34478994459123
"112",7,4.57644656979107
"113",6,6.54933843919639
"114",7,9.43888356067458
"115",12,11.4793039864506
"116",8,6.83196120023842
"117",9,6.48821407025994
"118",6,12.2570547723704
"119",4,10.1408876990414
"120",5,8.5015825315994
"121",9,9.15825863252503
"122",13,12.1447878513952
"123",11,6.87915435760101
"124",6,9.50089202895079
"125",3,5.86908766484073
"126",6,11.1751756254509
"127",8,7.21175838413785
"128",10,8.4359960534568
"129",8,10.3231775241516
"130",8,9.42534749504521
"131",8,6.70032806158584
"132",8,7.87531551884882
"133",5,4.10603350404006
"134",5,4.79806107656987
"135",7,6.80751603752171
"136",7,8.50363472369202
"137",6,7.35573376170336
"138",9,3.87187047583399
"139",10,7.05204809089102
"140",6,6.63216608139198
"141",8,10.7779103676205
"142",6,10.1299779157225
"143",8,5.17974855440132
"144",5,9.70327131294501
"145",10,6.48824528344071
"146",4,8.06912080605274
"147",8,7.42802724143702
"148",9,4.94562227989598
"149",8,6.21893768528993
"150",7,9.99103877563432
"151",8,9.06617741504586
"152",9,9.92737002001135
"153",12,6.60050488593703
"154",9,7.7469159638212
"155",4,6.08442670898552
"156",8,11.3135483955067
"157",8,10.3516324158909
"158",10,7.36473904366821
"159",5,7.87501364494707
"160",9,6.18329747134189
"161",7,6.24535063820877
"162",8,9.84045657912376
"163",6,10.1259450224411
"164",5,6.20548276419197
"165",14,11.8718988046144
"166",10,7.53050519577468
"167",7,8.61047491908281
"168",7,9.49308160572981
"169",10,9.41944191166414
"170",9,12.3292096008231
"171",5,6.70014855252037
"172",6,5.76645207963748
"173",7,3.30756906645727
"174",8,4.01328517611305
"175",10,10.9727105685479
"176",9,8.61332767278484
"177",10,8.32904905922639
"178",10,5.07714642526997
"179",8,7.44898218900585
"180",6,9.2917733719703
"181",12,7.09788194280803
"182",10,6.22545267697765
"183",6,6.65567363297259
"184",6,7.91092963169733
"185",14,11.1401736807659
"186",8,5.92364704196538
"187",11,4.07513023195595
"188",8,9.3189839392613
"189",8,5.71760540288731
"190",7,8.91418858247745
"191",8,7.91190582446618
"192",6,7.49799363452333
"193",10,8.99972970020294
"194",10,9.76325212091457
"195",9,8.3673735503314
"196",5,7.65416272431317
"197",3,11.0892360827271
"198",10,6.83439070760625
"199",11,9.74028582913254
"200",10,7.07171160199183
"201",6,7.42765253987293
"202",9,10.2246724448993
